farm,New_name,Lat,Long,x,y,Income,LV,GWPperRMB_upstream,GWPperRMB_onsite,GWPperRMB_total,GWPperLV_upstream,GWPperLV_onsite,GWPperLV_total,GWPperFM_upstream,GWPperFM_onsite,GWPperFM_total,MJperRMB,MJperLV,MJperFM,EUperRMB_upstream,EUperRMB_onsite,EUperRMB_total,EUperLV_upstream,EUperLV_onsite,EUperLV_total,EUperFM_upstream,EUperFM_onsite,EUperFM_total,WTperRMB_upstream,WTperRMB_onsite,WTperRMB_total,WTperLV_upstream,WTperLV_onsite,WTperLV_total,WTperFM_upstream,WTperFM_onsite,WTperFM_total
farm41,E13,49.513447,120.470637,316914,5487610,2.1,4,0.638886114,1.950165781,2.589051895,3.354152099,10.23837035,13.59252245,16541.09304,40953.4814,54370.08979,21.1913247,111.2544547,445017.8187,0.003405643,NA,0.003405643,0.017879627,NA,0.017879627,71.51850941,NA,71.51850941,98.88527064,11.48309333,110.368364,519.1476709,60.28624,579.4339109,2076590.683,241144.96,2317735.643
farm42,E14,49.446042,120.176814,295368,5480874,6.9,13.3,0.456574604,1.359515598,1.816090202,2.368695312,7.053126035,9.421821347,8291.806639,93806.57626,125310.2239,4.997199666,25.92532158,344806.777,0.000612865,2.23E-07,0.000613088,0.003179523,1.16E-06,0.003180681,42.28765927,0.015394021,42.30305329,28.91986037,4.483993043,33.40385341,150.0353658,23.26282105,173.2981869,1995470.365,309395.52,2304865.885
farm43,E15,49.443741,120.167621,294692,5480643,26.44,18.575,0.189714905,0.374923142,0.564638047,2.70043719,5.336725637,8.037162827,1071.202532,99129.67871,149290.2995,2.582246781,36.75618029,682746.0488,0.000299668,1.12E-07,0.00029978,0.004265532,1.60E-06,0.00426713,79.23225043,0.029688468,79.2619389,13.61442097,1.179481997,14.79390296,193.7901967,16.78896581,210.5791625,3599652.904,311855.04,3911507.944
farm44,E16,49.444937,120.174166,295171,5480758,5.4,19,0.416821589,1.679245979,2.096067568,1.184650831,4.772593835,5.957244666,8736.862134,90679.28286,113187.6486,5.953184193,16.91957613,321471.9464,0.000829684,3.26E-07,0.000830009,0.002358048,9.26E-07,0.002358974,44.80291175,0.017593166,44.82050492,32.87726259,6.350856296,39.22811889,93.44064106,18.04980211,111.4904432,1775372.18,342946.24,2118318.42
farm45,E17,49.450335,120.159278,294115,5481399,17.604,21.7,0.665790177,0.766456299,1.432246476,5.401184457,6.217832575,11.61901703,9535.756342,134926.9669,252132.6696,6.663854252,54.06013375,1173104.902,0.000527466,1.25E-07,0.000527591,0.004279035,1.01E-06,0.004280048,92.85505637,0.021991458,92.87704783,58.57030154,1.288877982,59.85917952,475.1481974,10.45594839,485.6041457,10310715.88,226894.08,10537609.96
farm46,E18,49.580431,120.586075,325508,5494782,6.51,6,0.254425207,0.971321233,1.22574644,2.760513499,10.53883538,13.29934888,3118.607921,63233.01226,79796.09325,4.577998576,49.67128455,298027.7073,0.000668193,NA,0.000668193,0.007249889,NA,0.007249889,43.49933574,NA,43.49933574,24.2838249,1.487346237,25.77117114,263.4795002,16.13770667,279.6172068,1580877.001,96826.24,1677703.241
farm47,E19,49.578404,120.589191,325726,5494549,4.2,8.2,0.7778463,1.79726553,2.57511183,3.984090805,9.205506375,13.18959718,20030.41209,75485.15227,108154.6969,11.57758985,59.29985043,486258.7735,0.001411466,NA,0.001411466,0.007229461,NA,0.007229461,59.28157757,NA,59.28157757,75.95320057,3.685706667,79.63890724,389.0285883,18.87800976,407.9065981,3190034.424,154799.68,3344834.104
farm50,S7,48.926134,119.770941,702962,5422946,15.11,6.98,0.281623015,0.495212573,0.776835588,6.096452363,10.7201461,16.81659847,2187.7478,74826.61979,117379.8573,3.921415468,84.88909416,592525.8772,0.000431837,NA,0.000431837,0.009348218,NA,0.009348218,65.25056293,NA,65.25056293,30.16024522,1.175458901,31.33570412,652.8958528,25.44582235,678.3416752,4557213.053,177611.84,4734824.893
farm51,S8,48.936884,119.771164,702935,5424141,13.4,10.07,0.266338427,0.732114005,0.998452432,3.544126038,9.742132742,13.28625878,2659.262501,98103.27671,133792.6259,5.065510152,67.40599408,678778.3604,0.000603078,NA,0.000603078,0.008025076,NA,0.008025076,80.8125148,NA,80.8125148,19.88822513,3.600482388,23.48870752,264.6496691,47.9110864,312.5607555,2665022.168,482464.64,3147486.808
farm55,S9,48.946368,119.975222,717835,5425761,19.8,27.39,0.104411932,0.923188864,1.027600796,0.754785049,6.673654439,7.428439488,1072.937842,182791.3951,203464.9576,2.644018253,19.11338496,523515.6142,0.000394415,NA,0.000394415,0.002851192,NA,0.002851192,78.09414132,NA,78.09414132,12.67967692,3.255851313,15.93552823,91.66031509,23.53627455,115.1965896,2510576.03,644658.56,3155234.59
farm56,S10,48.854179,120.283278,300723,5414805,6.25,6.4,0.387420612,1.951124162,2.338544774,3.783404411,19.05394689,22.8373513,9060.004467,121945.2601,146159.0483,13.13166288,128.2388953,820728.93,0.002046058,NA,0.002046058,0.019981032,NA,0.019981032,127.8786031,NA,127.8786031,61.65917561,3.43404544,65.09322105,602.1403868,33.5356,635.6759868,3853698.475,214627.84,4068326.315
farm57,S11,48.8549555,120.2831855,300719,5414891,35.7,58.05,0.082143101,0.90107724,0.983220341,0.505169458,5.541508611,6.046678069,807.6476775,321684.5749,351009.6619,1.733633347,10.6616211,618907.105,0.00018446,NA,0.00018446,0.001134408,NA,0.001134408,65.85238547,NA,65.85238547,8.20797135,3.388887843,11.59685919,50.47796334,20.84122239,71.31918574,2930245.772,1209832.96,4140078.732
farm59,S12,48.856614,120.305847,302388,5415016,1.6,2.4,0.428397416,2.171150453,2.599547869,2.855982774,14.47433635,17.33031913,11136.3959,34738.40724,41592.7659,13.85317634,92.35450894,221650.8215,0.002237742,NA,0.002237742,0.014918281,NA,0.014918281,35.80387553,NA,35.80387553,66.25704985,2.2421,68.49914985,441.7136657,14.94733333,456.660999,1060112.798,35873.6,1095986.398
farm60,S13,48.805546,120.159395,291435,5409732,47.9,28.14,0.078015007,0.333551085,0.411566092,1.327974,5.677717482,7.005691481,321.0833158,159770.9699,197140.1583,1.46975964,25.01829664,704014.8676,0.000177325,NA,0.000177325,0.00301843,NA,0.00301843,84.9386117,NA,84.9386117,8.51349891,1.68162739,10.1951263,144.9170568,28.62471642,173.5417732,4077965.978,805499.52,4883465.498
farm61,S14,48.71003,119.81123,706801,5399035,6.6,22.2,0.427496094,2.067488947,2.494985042,1.270934335,6.146588762,7.417523097,10665.96361,136454.2705,164669.0128,8.460519457,25.15289568,558394.2842,0.000846733,NA,0.000846733,0.002517316,NA,0.002517316,55.8844095,NA,55.8844095,41.00269724,5.858821818,46.86151906,121.8999107,17.41811892,139.3180296,2706178.018,386682.24,3092860.258
farm62,S15,48.716523,119.803113,706177,5399735,5.88,4.6,0.251810779,1.198831556,1.450642335,3.218798657,15.32419467,18.54299333,3652.873768,70491.29548,85297.7693,8.322377558,106.3816957,489355.8004,0.001304565,NA,0.001304565,0.016675748,NA,0.016675748,76.70844123,NA,76.70844123,38.79950773,2.135047619,40.93455535,495.9589249,27.29147826,523.2504032,2281411.055,125540.8,2406951.855
farm65,S16,48.546829,120.004936,278965,5381413,10.2,12.3,0.175415179,0.843457747,1.018872927,1.454662462,6.994527662,8.449190123,1787.25777,86032.69024,103925.0385,4.188162827,34.73110637,427192.6084,0.000520752,NA,0.000520752,0.004318432,NA,0.004318432,53.11671485,NA,53.11671485,19.21469888,2.369458824,21.58415771,159.3414054,19.64917073,178.9905761,1959899.286,241684.8,2201584.086
farm66,S17,48.777053,119.85621,709830,5406608,22.53,19.8,0.051862277,0.46721699,0.519079267,0.590129846,5.316363022,5.906492869,269.206326,105263.9878,116948.5588,1.589194434,18.08310636,358045.5059,0.000229662,NA,0.000229662,0.002613279,NA,0.002613279,51.74293145,NA,51.74293145,7.679029695,2.144633466,9.823663161,87.37805001,24.40332929,111.7813793,1730085.39,483185.92,2213271.31
farm68,W9,48.54504,119.001123,647692,5378815,23.2,31.6,0.069027223,0.728692922,0.797720145,0.506782141,5.349897406,5.856679546,550.6440604,169056.758,185071.0737,2.003347964,14.70812429,464776.7276,0.000331225,NA,0.000331225,0.002431775,NA,0.002431775,76.84409321,NA,76.84409321,9.323709761,2.595078621,11.91878838,68.45255268,19.05247595,87.50502863,2163100.665,602058.24,2765158.905
